,accuracy,accuracy,eval_seconds,eval_seconds,f1_score,f1_score
model,GRU,TrajFormer,GRU,TrajFormer,GRU,TrajFormer
dataset,,,,,,
animals,0.6114999999999999,0.612,0.08806553552858531,0.07968146249186248,0.39649999999999996,0.4755
geolife,0.522,0.504,3.0862522720126435,3.1307513860519975,0.223,0.234
hurdat2,0.522,0.52,0.028782372013665736,0.3277389509603381,0.192,0.201
mnist_stroke,0.977,0.978,0.5039283799706027,13.622350151999854,0.976,0.978
seabird,,0.576,,0.08014074305538088,,0.244
uci_characters,0.886,0.932,0.039563875063322484,1.0028448910452425,0.866,0.925
uci_gotrack,0.951,0.976,0.04812552698422223,0.055824614013545215,0.95,0.975
uci_movement_libras,0.156,0.275,0.012308923993259668,0.08357145497575402,0.056,0.206
uci_pen_digits,0.983,0.982,0.04498272098135203,1.1341785650001839,0.983,0.982
vehicle,0.713,0.678,0.0813596099615097,0.15196706901770085,0.416,0.629
